REF,SITE_NAME,LAT,LON,ALT
NWR,Niwot Ridge (T-van),  40.05,-105.59, 3523
NIA,Noia,  42.73,  -8.92, 685
OXK,Ochsenkopf,  50.03,  11.80, 1185
OPW,Olympic Peninsula,  48.25,-124.42, 488
OUX,Oulanka,  66.32,  29.40, 310
PAL,Pallas-Sammaltunturi,  67.97,  24.12, 560
PSA,Palmer Station, -64.92, -64.00, 10
LEF,Park Falls,  45.92, -90.27, 868
PAY,Payerne,  46.82,   6.95, 490
PEN,Penhas Douradas,  40.42,  -7.55, 1380
PDM,Pic du Midi,  42.94,   0.14, 2877
KZM,Plateau Assy,  43.25,  77.87, 2519
PRS,Plateau Rosa,  45.93,   7.70, 3480
PLV,Pleven,  43.42,  24.60, 64
PLD,Plovdiv,  42.13,  24.75, 304
PTA,Point Arena,  38.95,-123.72, 17
DIG,Puszcza Borecka/Diabla Gora,  54.15,  22.07, 157
PUY,Puy de Dome,  45.77,   2.97, 1465
RPB,Ragged Point,  13.17, -59.43, 45
RIG,Rigi,  46.07,   8.45, 1031
ROQ,Roquetas,  40.82,   0.48, 50
RCV,Rucava,  56.16,  21.17, 18
RYO,Ryori,  39.03, 141.82, 260
WSA,Sable Island,  43.93, -60.02, 4
SNL,San Lorenzo, -25.37, -57.55, 133
SPM,San Pablo de los Montes,  39.55,  -4.35, 917
MID,Sand Island,  28.20,-177.37, 4
KZD,Sary Taukum,  44.45,  75.57, 412
SAT,Saturna,  48.78,-123.13, 178
SSL,Schauinsland,  47.92,   7.92, 1205
WIS,Sede Boker,  31.12,  34.87, 400
SEM,Semenic,  45.12,  21.97, 1432
SDZ,Shangdianzi,  40.65, 117.12, 287
SHM,Shemya Island,  52.72, 174.08, 40
SHP,Shepeljovo,  59.97,  29.12, 4
SNZ,Sniezka,  50.73,  15.73, 1603
SOF,Sofia,  42.65,  23.38, 588
SNB,Sonnblick,  47.05,  12.95, 3106
SPO,South Pole, -89.98, -24.80, 2841
SGP,Southern Great Plains,  36.78, -97.50, 318
STN,Stana de Vale,  46.68,  22.62, 1108
AVI,St. Croix,  17.75, -64.75, 3
BME,St. David's Head,  32.37, -64.65, 30
STP,Stephansplatz,  48.22,  16.38, 171
SUI,Suita,  34.82, 135.52, 63
SUM,Summit,  72.58, -38.48, 3238
SWL,Suwalki,  54.13,  22.95, 184
SYO,Syowa Station, -69.00,  39.58, 21
TAP,Tae-ahn Peninsula,  36.72, 126.12, 20
TKY,Takayama,  36.15, 137.42, 1420
TAR,Tanah Rata,   4.47, 101.38, 1545
AZR,Terceira Island,  38.77, -27.37, 40
TER,Teriberka,  69.20,  35.10, 40
TDF,Tierra del Fuego, -54.87, -68.48, 30
THD,Trinidad Head,  41.05,-124.15, 107
TKB,Tsukuba,  36.05, 140.13, 31
BMW,Tudor Hill,  32.27, -64.87, 30
SMO,Tutuila (Cape Matatula), -14.24,-170.57, 77
UUM,Ulaan Uul,  44.45, 111.08, 914
URW,Urawa,  35.87, 139.60, 10
USH,Ushuaia, -54.83, -68.30, 18
UTO,Uto,  59.78,  21.38, 7
VRN,Varna,  43.20,  27.92, 41
VDC,Viana do Castelo,  41.70,  -8.80, 16
VDL,Vindeln,  64.25,  19.77, 225
VIR,Virolahti,  60.53,  27.67, 4
LGB,Waldhof,  52.80,  10.77, 74
WNK,Wank Peak,  47.52,  11.15, 1780
UTA,Wendover,  39.88,-113.72, 1320
WBI,West Branch,  41.72, -91.35, 242
WES,Westerland,  54.93,   8.32, 12
YON,Yonagunijima,  24.47, 123.02, 30
ZBL,Zabljak,  43.15,  19.13, 1450
ZRN,Zavodnje,  46.43,  15.00, 770
NYA,Zeppelinfjellet (Ny-Alesund),  78.90,  11.88, 0
ZGT,Zingst,  54.43,  12.73, 1
ZSN,Zoseni,  57.08,  25.54, 183
ZSF,Zugspitze,  47.42,  10.98, 2671
