Hydrogen     H   1   1.00797   0.46
Helium       He  2   4.003     1.76
Lithium      Li  3   6.94      1.52
Beryllium    Be  4   9.01      1.12   
Boron        B   5  10.81      0.88
Carbon       C   6  12.01      0.77
Nitrogen     N   7  14.01      0.71
Oxygen       O   8  16.00      0.60
Fluorine     F   9  19.00      0.60
Neon         Ne  10 20.18      1.60
